Country,Total
United States,28638
United Kingdom,13310
Australia,11484
Canada,5781
India,2653
Sweden,2357
Netherlands,2333
New Zealand,2225
Denmark,2212
Germany,1729
South Africa,1118
Belgium,1003
Ireland,996
France,977
Norway,740
Spain,733
Czech Republic,732
Iceland,624
Austria,579
Portugal,490
Greece,483
Pakistan,464
Singapore,453
Finland,449
United Arab Emirates,365
Ukraine,358
Unknown,354
Switzerland,338
Brazil,250
Japan,249
Italy,212
Mexico,181
Philippines,176
Poland,176
Jersey,175
Serbia,167
Thailand,145
Nigeria,122
Malta,108
Egypt,102
Romania,101
Uruguay,82
Turkey,80
Israel,73
"Iran, Islamic Republic of",73
Kuwait,73
Malaysia,69
Russian Federation,68
Saudi Arabia,62
Croatia,61
Somalia,57
Slovakia,53
Isle of Man,49
Colombia,47
Hong Kong,46
Slovenia,46
Argentina,42
Kenya,39
Lebanon,38
Morocco,36
Jordan,36
Peru,33
Myanmar,30
Angola,29
Qatar,28
Armenia,28
Tunisia,27
Georgia,26
Taiwan,25
Guatemala,24
Jamaica,23
Vietnam,20
Indonesia,20
Lithuania,20
Dominican Republic,20
Djibouti,19
Europe,19
Bahrain,19
Cyprus,18
Hungary,18
Asia/Pacific Region,18
Albania,17
Uganda,15
"Korea, Republic of",14
Mauritius,11
Costa Rica,11
Chile,11
Ethiopia,11
Belarus,9
Bosnia and Herzegovina,9
Reunion,8
Macedonia,8
Latvia,8
Bulgaria,7
Sri Lanka,7
Estonia,7
Bangladesh,7
Algeria,6
Luxembourg,6
Panama,5
Oman,5
Ghana,5
Bolivia,5
Liechtenstein,4
Trinidad and Tobago,4
Nepal,3
Cote D'Ivoire,3
Iraq,3
Barbados,3
Maldives,3
Zimbabwe,3
Puerto Rico,3
Cambodia,2
Venezuela,2
"Tanzania, United Republic of",2
"Moldova, Republic of",2
Aruba,2
China,2
Aland Islands,2
Fiji,2
Brunei Darussalam,2
Yemen,2
Cape Verde,1
Solomon Islands,1
Palestinian Territory,1
Gabon,1
Senegal,1
Cayman Islands,1
Zambia,1
Haiti,1
Azerbaijan,1
Botswana,1
Bermuda,1
